x,y,z,nx,ny,nz,S,pt
0,0,0,-0.710964,-0.0509323,-0.701382,2.32267e+27,1
1,0,0,0.888144,0.202473,0.412558,4.05434,1
2,0,0,0.35456,0.172026,0.919072,0.606203,1
3,0,0,0.608415,0.79179,-0.0538562,0.685622,1
4,0,0,0.59946,-0.0378335,0.79951,0.419143,1
5,0,0,-0.475411,0.168625,-0.863453,0.581169,1
6,0,0,-0.0108153,-0.441474,0.897209,0.217502,1
7,0,0,0.0461912,-0.920681,0.387573,0.322067,1
8,0,0,0.873805,-0.238503,-0.423771,0.522894,1
9,0,0,-0.474561,-0.555792,0.682559,0.686078,1
10,0,0,-0.793236,-0.443347,0.417397,0.226224,1
11,0,0,-0.545337,-0.394798,-0.73942,0.392412,1
12,0,0,0.769357,0.0906062,0.632361,0.363269,1
13,0,0,-0.933344,0.0348326,0.35729,0.427585,1
14,0,0,-0.902032,0.42816,0.0549316,0.209351,1
15,0,0,0.158451,0.8824,-0.443016,0.309416,1
16,0,0,0.0561726,-0.920967,-0.38557,0.429735,1
17,0,0,0.693881,-0.717236,0.0640454,0.412832,1
18,0,0,-0.961922,-0.0326522,-0.271368,0.276387,1
19,0,0,0.0447213,-0.821889,-0.56789,0.293654,1
0,1,0,0.11671,-0.969504,-0.215501,0.5424,1
1,1,0,0.318046,0.541467,0.778242,0.420457,1
2,1,0,-0.876649,-0.35032,-0.329792,0.66705,1
3,1,0,0.179621,0.90579,0.383771,0.524285,1
4,1,0,0.282645,0.056458,0.957562,0.509034,1
5,1,0,-0.0967915,-0.793104,-0.601347,0.579307,1
6,1,0,0.352266,0.851922,0.387475,0.705304,1
7,1,0,-0.92046,-0.364497,-0.14105,0.339793,1
8,1,0,-0.892811,0.0664078,0.445509,0.540138,1
9,1,0,-0.334857,0.0643162,0.940071,0.451953,1
10,1,0,-0.262725,-0.17146,-0.949514,0.696824,1
11,1,0,-0.453895,-0.316744,-0.832858,0.544965,1
12,1,0,-0.788553,0.503183,0.353541,0.417094,1
13,1,0,0.670354,0.393769,0.628945,0.563492,1
14,1,0,0.262153,-0.862065,-0.433728,0.52849,1
15,1,0,-0.773898,0.252415,0.580834,0.391843,1
16,1,0,0.822857,-0.357981,-0.441312,0.389214,1
17,1,0,-0.761285,0.359212,-0.539825,0.467975,1
18,1,0,-0.651143,0.202669,-0.731395,0.501181,1
19,1,0,-0.339975,0.937805,-0.070279,0.563362,1
0,2,0,0.0181798,0.904607,0.425859,0.760186,1
1,2,0,0.0453395,0.401271,0.914837,0.421685,1
2,2,0,0.827772,0.46869,-0.30842,0.464229,1
3,2,0,-0.16158,-0.693996,0.701614,0.472913,1
4,2,0,0.0766564,-0.86467,0.496457,0.340703,1
5,2,0,-0.356084,-0.0415733,-0.933529,0.321257,1
6,2,0,-0.581009,-0.356855,-0.731494,0.503684,1
7,2,0,0.137365,0.525694,0.83951,0.472496,1
8,2,0,-0.130449,0.706421,-0.695667,0.203092,1
9,2,0,0.013592,0.70073,-0.713297,0.45098,1
10,2,0,0.192073,0.569355,0.799339,0.422923,1
11,2,0,0.915079,-0.105613,0.389199,0.501899,1
12,2,0,-0.516831,0.82452,0.23033,0.592985,1
13,2,0,-0.463931,0.817089,0.342249,0.603716,1
14,2,0,0.291187,-0.542207,-0.788176,0.460971,1
15,2,0,0.894899,0.27153,-0.354156,0.761302,1
16,2,0,0.352893,-0.0958864,-0.930737,0.618737,1
17,2,0,0.581455,-0.164561,0.796762,0.467005,1
18,2,0,-0.583176,-0.128451,-0.802126,0.641225,1
19,2,0,-0.110935,-0.517222,-0.848632,0.56073,1
0,3,0,-0.246552,-0.736281,-0.63016,0.612593,1
1,3,0,-0.171587,-0.907698,-0.382938,0.421325,1
2,3,0,0.882804,0.4574,-0.106967,0.723757,1
3,3,0,-0.568675,-0.758876,0.317357,0.454781,1
4,3,0,0.138702,-0.988327,-0.0630181,0.603827,1
5,3,0,-0.753475,-0.291075,0.589535,0.350283,1
6,3,0,0.952267,0.0388678,-0.302781,0.44963,1
7,3,0,-0.110593,-0.79085,-0.601935,0.694354,1
8,3,0,0.133375,0.833081,0.53683,0.261572,1
9,3,0,0.695594,-0.441716,0.5666,0.466003,1
10,3,0,-0.935396,0.17985,-0.304447,0.469359,1
11,3,0,-0.705891,-0.663279,-0.248553,0.591734,1
12,3,0,0.646139,-0.76115,0.0561622,0.512298,1
13,3,0,0.766596,-0.540409,-0.346828,0.391465,1
14,3,0,0.624964,0.155754,-0.764958,0.555204,1
