x,y,z,nx,ny,nz,S,pt
0,0,0,0.185105,-0.694514,-0.69526,2.32267e+27,1
1,0,0,-0.0212461,0.435304,0.900033,361.811,1
2,0,0,0.115064,0.162863,0.979916,1.03973,1
3,0,0,0.120451,-0.157956,-0.980072,0.871108,1
4,0,0,-0.169861,0.00982011,0.985419,0.933393,1
5,0,0,0.0527491,0.661317,0.74825,0.829372,1
6,0,0,-0.785771,0.178931,0.592071,0.863709,1
7,0,0,-0.74677,0.0578943,0.662558,0.92957,1
8,0,0,-0.31245,0.320835,0.894114,0.903647,1
9,0,0,0.387738,-0.672961,-0.629908,0.831043,1
10,0,0,-0.163688,-0.718039,0.676481,0.771892,1
11,0,0,0.0881288,-0.302036,-0.949214,0.761775,1
12,0,0,-0.29052,0.123143,0.948912,0.85861,1
13,0,0,-0.195723,-0.398088,-0.896224,0.849621,1
14,0,0,0.191653,-0.228135,-0.95458,0.795628,1
15,0,0,0.212436,-0.406093,-0.888797,0.989474,1
16,0,0,-0.148522,0.132303,0.980019,0.86235,1
17,0,0,-0.0180922,-0.624849,-0.780536,0.880028,1
18,0,0,0.487963,-0.858704,-0.156587,0.976157,1
19,0,0,-0.363892,0.863685,0.348757,0.857361,1
0,1,0,0.0131216,-0.0248088,-0.999606,0.963767,1
1,1,0,0.195658,-0.396069,-0.897133,0.91379,1
2,1,0,0.408787,-0.451459,-0.793144,0.908781,1
3,1,0,-0.497451,0.547718,0.672716,0.877759,1
4,1,0,-0.193738,0.35795,0.913421,0.916292,1
5,1,0,-0.000688003,-0.820793,-0.571226,0.95818,1
6,1,0,-0.591617,0.489263,0.64079,0.918607,1
7,1,0,0.30267,-0.653591,-0.693693,0.929954,1
8,1,0,0.583511,-0.34986,-0.73288,0.965455,1
9,1,0,0.612783,-0.582006,-0.534571,0.934204,1
10,1,0,-0.457241,0.475535,0.75153,0.789103,1
11,1,0,0.477755,-0.39912,-0.782594,0.862681,1
12,1,0,0.798021,-0.151695,-0.583224,0.879272,1
13,1,0,0.122418,0.398405,0.909003,0.870545,1
14,1,0,-0.106847,0.802153,0.587481,0.89209,1
15,1,0,-0.39376,0.568592,0.722258,1.00125,1
16,1,0,-0.279715,0.0429052,0.959124,0.948822,1
17,1,0,-0.267313,0.37135,0.889181,1.00353,1
18,1,0,-0.303968,0.626242,0.717931,0.972358,1
19,1,0,-0.0694447,-0.713776,-0.696923,0.950407,1
0,2,0,-0.25103,0.535194,0.806568,1.00253,1
1,2,0,0.0763431,-0.186476,-0.979489,0.943531,1
2,2,0,0.675824,-0.22441,-0.702069,0.80593,1
3,2,0,0.306464,-0.162867,-0.937845,0.842322,1
4,2,0,0.147921,0.228898,0.962146,1.02593,1
5,2,0,-0.15408,0.292154,0.943878,1.01057,1
6,2,0,-0.232718,0.502166,0.832869,0.954123,1
7,2,0,-0.146069,0.130922,0.980573,0.940618,1
8,2,0,-0.233102,0.512301,0.826566,0.97856,1
9,2,0,0.54844,-0.324884,-0.770496,0.974122,1
10,2,0,-0.346543,0.547633,0.761581,0.849416,1
11,2,0,-0.391376,0.380242,0.837998,1.04533,1
12,2,0,-0.337107,0.532047,0.776714,0.947452,1
13,2,0,0.307581,-0.371262,-0.876104,0.910077,1
14,2,0,-0.0404602,-0.201126,-0.978729,0.937781,1
15,2,0,0.155547,-0.32107,-0.934194,0.984223,1
16,2,0,0.399598,-0.315775,-0.860585,1.01215,1
17,2,0,0.34342,-0.54157,-0.76731,0.902815,1
18,2,0,0.37681,-0.730454,-0.569606,1.01465,1
19,2,0,-0.112686,0.661409,0.741512,0.98195,1
0,3,0,0.151565,-0.661865,-0.734141,1.03758,1
1,3,0,-0.189035,0.285221,0.939635,0.886463,1
2,3,0,0.512048,-0.0022193,-0.858954,0.916281,1
3,3,0,0.428839,-0.188297,-0.883539,0.976741,1
4,3,0,0.0331563,0.371827,0.92771,0.944282,1
5,3,0,-0.143004,0.315116,0.938217,1.00889,1
6,3,0,-0.468979,0.18543,0.863524,0.939924,1
7,3,0,-0.149249,0.0556848,0.987231,0.899927,1
8,3,0,0.27424,0.0282229,-0.961247,0.861473,1
9,3,0,0.538246,-0.210516,-0.816073,0.926163,1
10,3,0,-0.17786,-0.290954,-0.940059,0.883821,1
11,3,0,0.613163,-0.373105,-0.696293,0.926468,1
12,3,0,-0.431359,0.0928062,0.897394,0.991529,1
13,3,0,0.42066,0.0329481,-0.90662,0.906782,1
14,3,0,0.533817,-0.152042,-0.831819,0.869094,1
15,3,0,-0.501966,0.597909,0.624928,0.869867,1
16,3,0,-0.516188,0.363963,0.775294,0.959379,1
17,3,0,-0.201169,-0.112357,0.973091,0.90467,1
18,3,0,0.463585,-0.525244,-0.713588,0.824882,1
19,3,0,-0.382693,0.417396,0.824213,0.993196,1
0,4,0,0.485427,-0.337702,-0.806423,1.00994,1
1,4,0,0.520201,-0.3435,-0.78192,0.986906,1
2,4,0,0.0553558,0.504603,0.861575,0.952307,1
3,4,0,-0.239539,0.130381,0.962093,0.961909,1
4,4,0,-0.54986,0.417962,0.723161,1.00579,1
5,4,0,0.127951,-0.36441,-0.922407,0.980032,1
6,4,0,-0.347635,0.165834,0.922848,0.978223,1
7,4,0,0.0507413,0.0289813,-0.998291,0.889338,1
8,4,0,0.491795,0.100458,-0.864896,0.83578,1
9,4,0,-0.550736,0.447279,0.704721,0.918707,1
10,4,0,-0.436898,0.313011,0.843294,0.977205,1
11,4,0,-0.0400877,0.368862,0.928619,0.949328,1
12,4,0,-0.493501,0.241318,0.835597,0.93326,1
13,4,0,0.366227,0.139419,-0.920022,0.872647,1
14,4,0,-0.617873,0.0690991,0.783236,0.906859,1
15,4,0,0.591038,-0.642418,-0.487825,0.846696,1
16,4,0,0.573975,-0.0717359,-0.815725,0.948125,1
17,4,0,-0.584071,0.261209,0.768525,0.927152,1
18,4,0,-0.132637,0.341859,0.930344,0.903199,1
19,4,0,0.375947,-0.318058,-0.870346,1.01986,1
0,5,0,0.291654,-0.365498,-0.88394,0.93486,1
1,5,0,0.329982,-0.495391,-0.803555,0.939127,1
2,5,0,0.232806,-0.663148,-0.711362,0.966913,1
3,5,0,0.3985,-0.208217,-0.893221,0.967145,1
4,5,0,0.26207,-0.332474,-0.905969,1.01176,1
5,5,0,-0.545212,0.362807,0.755722,0.941437,1
6,5,0,-0.43512,0.473133,0.766039,0.995714,1
7,5,0,0.610434,-0.384931,-0.692242,0.85843,1
8,5,0,0.625375,0.270561,-0.731917,0.80351,1
9,5,0,-0.0169416,0.13785,0.990308,0.826341,1
10,5,0,-0.402135,0.385635,0.830406,0.932296,1
11,5,0,0.117093,-0.632783,-0.765424,1.01133,1
12,5,0,0.515854,-0.225739,-0.8264,0.960281,1
13,5,0,-0.569826,-0.0161539,0.821607,0.94171,1
14,5,0,0.474157,-0.168317,-0.864202,0.965136,1
15,5,0,-0.382377,-0.231893,0.894435,0.826527,1
16,5,0,-0.51597,-0.143686,0.84447,0.780447,1
17,5,0,-0.207403,0.276654,0.938321,0.885033,1
18,5,0,-0.608949,0.602662,0.515732,0.846329,1
19,5,0,0.650041,-0.375573,-0.660599,0.8907,1
0,6,0,0.284301,-0.275857,-0.918192,0.890709,1
1,6,0,-0.273109,-0.766693,-0.581028,0.891161,1
2,6,0,-0.367536,0.464857,0.805497,0.977371,1
3,6,0,-0.487479,0.698632,0.523715,0.874674,1
4,6,0,0.542556,-0.476737,-0.691632,0.992919,1
5,6,0,-0.540695,0.569651,0.618989,0.976899,1
6,6,0,0.355335,-0.319081,-0.878592,1.00069,1
7,6,0,-0.381647,0.572462,0.725695,0.890671,1
8,6,0,0.104646,0.200168,-0.974157,0.799904,1
9,6,0,0.570651,-0.0282457,-0.820707,0.679474,1
10,6,0,-0.405151,0.365263,0.838114,0.866948,1
11,6,0,0.19721,-0.330373,-0.923018,1.06278,1
12,6,0,-0.210004,0.510577,0.833793,1.0216,1
13,6,0,-0.481108,0.540346,0.690334,0.923258,1
14,6,0,0.717323,-0.10488,-0.688802,0.876596,1
15,6,0,0.445102,-0.269379,-0.854002,0.894913,1
16,6,0,-0.623974,-0.111853,0.773399,0.946799,1
17,6,0,-0.406796,0.347067,0.845022,0.872091,1
18,6,0,0.111902,0.735822,0.667865,0.827624,1
19,6,0,-0.77637,0.329639,0.537203,0.851088,1
0,7,0,0.124024,-0.576778,-0.807431,0.929956,1
1,7,0,-0.167143,-0.78512,-0.596364,0.937403,1
2,7,0,-0.0759441,0.733756,0.675155,0.880068,1
3,7,0,0.454637,0.152911,-0.877453,0.879318,1
4,7,0,0.614328,-0.693981,-0.37549,0.763223,1
5,7,0,-0.117795,0.306176,0.944659,0.804607,1
