x,y,z,nx,ny,nz,S,pt
0,0,0,-0.342209,-0.841909,0.417233,0.873662,1
1,0,0,-0.738802,-0.638964,0.214236,0.851692,1
2,0,0,0.757535,0.651581,0.0397818,0.887159,1
3,0,0,0.414589,0.892707,-0.176609,0.876481,1
4,0,0,-0.770382,-0.385576,0.507782,0.693939,1
5,0,0,-0.512372,-0.517071,0.685647,0.910357,1
6,0,0,-0.861041,-0.294639,0.414483,0.794793,1
7,0,0,-0.933197,-0.286572,-0.216841,0.764694,1
8,0,0,0.378455,0.925242,-0.0264544,0.768375,1
9,0,0,-0.821164,-0.340814,0.45775,0.738756,1
10,0,0,-0.622899,-0.651789,0.432629,0.858873,1
11,0,0,0.524295,0.753134,-0.397371,0.796243,1
12,0,0,-0.0513912,-0.985852,0.159547,0.709979,1
13,0,0,-0.709385,-0.670513,-0.217221,0.66496,1
14,0,0,-0.447395,-0.831077,0.330378,0.836535,1
15,0,0,0.893868,0.446371,-0.0418794,0.83722,1
16,0,0,-0.668535,-0.743634,0.00828783,0.830397,1
17,0,0,-0.365936,-0.923126,0.118019,0.889495,1
18,0,0,0.484125,0.830773,-0.27466,0.855964,1
19,0,0,-0.63836,-0.761907,-0.109517,0.852911,1
0,1,0,0.38583,0.8663,-0.317269,0.837075,1
1,1,0,0.778359,0.575771,-0.250291,0.89331,1
2,1,0,-0.885788,-0.328768,0.327554,0.853907,1
3,1,0,0.415544,0.773696,-0.478245,0.870442,1
4,1,0,0.772829,0.600819,-0.204332,0.76557,1
5,1,0,-0.475546,-0.650931,0.59173,0.826772,1
6,1,0,0.844302,0.528288,-0.0898128,0.805441,1
7,1,0,0.922396,0.378592,0.0765149,0.950496,1
8,1,0,0.94856,0.297592,0.108047,0.738466,1
9,1,0,0.881115,0.365947,0.29953,0.894106,1
10,1,0,0.789977,0.611597,0.0434182,0.832119,1
11,1,0,0.838693,0.495179,-0.226698,0.813473,1
12,1,0,-0.937247,-0.236765,0.25595,0.661091,1
13,1,0,-0.856042,-0.119915,0.502804,0.841184,1
14,1,0,-0.844773,-0.325812,0.424505,0.746592,1
15,1,0,0.955519,0.27291,-0.111815,0.905172,1
16,1,0,-0.655216,-0.730762,0.191519,0.853513,1
17,1,0,-0.5272,-0.79595,0.297529,0.810355,1
18,1,0,0.314196,0.754907,-0.575671,0.892021,1
19,1,0,-0.311776,-0.628549,0.712546,0.865433,1
0,2,0,-0.69725,-0.716436,0.0237119,0.929082,1
1,2,0,-0.710753,-0.673547,0.202893,0.873928,1
2,2,0,0.648165,0.627072,-0.432046,0.777576,1
3,2,0,0.689233,0.639072,-0.341387,0.868752,1
4,2,0,0.477777,0.877325,-0.0450622,0.835119,1
5,2,0,0.482035,0.827402,-0.28818,0.805089,1
6,2,0,0.921777,0.374374,0.100854,0.914444,1
7,2,0,-0.774227,-0.627823,-0.0800647,0.898701,1
8,2,0,0.441073,0.828861,0.344157,0.786667,1
9,2,0,-0.879543,-0.417944,0.227435,0.789546,1
10,2,0,-0.970579,-0.228527,0.0758403,0.895743,1
11,2,0,0.984892,0.166813,-0.0464958,0.876347,1
12,2,0,-0.973441,-0.171562,-0.151586,0.831145,1
13,2,0,0.697321,0.432943,-0.571231,0.804559,1
14,2,0,0.528454,0.565268,-0.63341,0.848085,1
15,2,0,0.622305,0.776093,-0.10206,0.772292,1
16,2,0,0.960933,0.276715,-0.00605939,0.864277,1
17,2,0,-0.929291,-0.228331,0.290315,0.790365,1
18,2,0,-0.655261,-0.246743,0.713969,0.677378,1
19,2,0,-0.59357,-0.658336,0.462892,0.807519,1
0,3,0,-0.556429,-0.777761,0.29236,0.876701,1
1,3,0,-0.579542,-0.737797,-0.346102,0.806898,1
2,3,0,-0.145038,-0.870253,-0.47077,0.750765,1
3,3,0,0.696924,0.646761,-0.309835,0.652524,1
4,3,0,-0.940318,-0.329638,-0.0845008,0.801904,1
5,3,0,-0.406984,-0.779653,0.475924,0.827972,1
6,3,0,-0.685137,-0.691364,0.229354,0.805703,1
7,3,0,0.774321,0.632562,0.0170994,0.929364,1
8,3,0,-0.511267,-0.839067,0.185939,0.835329,1
9,3,0,0.871402,0.461595,0.166096,0.717087,1
10,3,0,-0.608389,-0.757532,0.236659,0.83444,1
11,3,0,-0.797501,-0.470654,0.377461,0.818544,1
12,3,0,0.7545,0.160755,-0.636308,0.845289,1
13,3,0,-0.658785,-0.464535,0.591785,0.97563,1
14,3,0,-0.634086,-0.367555,0.680322,0.891053,1
15,3,0,0.464689,0.71413,-0.523529,0.722604,1
16,3,0,-0.840582,-0.532906,0.0971251,0.774346,1
17,3,0,0.922097,0.372228,-0.105755,0.817559,1
18,3,0,0.73678,0.674805,-0.0423579,0.837008,1
19,3,0,-0.610401,-0.630955,0.478859,0.87578,1
0,4,0,-0.482281,-0.79948,0.358103,0.701185,1
1,4,0,-0.861024,-0.49024,0.135283,0.846337,1
2,4,0,0.46696,0.879557,-0.0912576,0.642401,1
3,4,0,0.629494,0.713945,0.306626,0.686615,1
4,4,0,-0.638362,-0.725783,-0.256383,0.825867,1
5,4,0,0.509695,0.817472,0.268236,0.805092,1
6,4,0,-0.228949,-0.952513,-0.200755,0.873245,1
7,4,0,-0.747382,-0.663937,-0.0246622,0.854282,1
8,4,0,0.673357,0.64148,-0.36755,0.790114,1
9,4,0,-0.959153,0.16124,-0.232437,0.739021,1
10,4,0,0.882661,0.382121,-0.273667,0.762297,1
11,4,0,-0.465344,-0.738171,0.488424,0.884938,1
12,4,0,0.702624,0.691647,-0.167166,0.791277,1
13,4,0,0.571906,0.364236,-0.735021,0.827889,1
14,4,0,-0.65846,-0.33916,0.671863,0.887266,1
15,4,0,-0.929157,-0.153454,0.336332,0.758284,1
16,4,0,-0.863189,-0.483268,0.146141,0.716153,1
17,4,0,0.540707,0.668854,-0.510166,0.758946,1
18,4,0,-0.937666,-0.30363,0.16909,0.823629,1
19,4,0,0.534564,0.334521,-0.776104,0.774232,1
0,5,0,-0.947657,-0.26525,0.177731,0.856762,1
1,5,0,0.894309,0.405053,-0.190112,0.787877,1
2,5,0,-0.981059,-0.0812506,-0.175844,0.702316,1
3,5,0,0.976973,-0.0735274,0.200292,0.739904,1
4,5,0,0.785059,0.279118,0.55297,0.607746,1
5,5,0,0.445481,0.845258,0.295103,0.797062,1
6,5,0,0.290888,0.951555,-0.0996328,0.791751,1
7,5,0,-0.721507,-0.679507,0.133034,0.863748,1
8,5,0,0.684061,0.725072,-0.079571,0.942798,1
9,5,0,-0.824701,-0.425197,0.372929,0.464361,1
10,5,0,-0.902938,-0.327008,0.27887,0.760501,1
11,5,0,0.654573,0.709854,-0.260079,0.812238,1
12,5,0,0.654257,0.75609,-0.0165897,0.87075,1
13,5,0,0.380096,0.716795,-0.584578,0.825997,1
14,5,0,0.762703,0.576999,-0.292158,0.782106,1
15,5,0,-0.813137,-0.474965,0.336475,0.786604,1
16,5,0,0.772572,0.583322,-0.250735,0.879769,1
17,5,0,-0.639326,-0.29619,0.709601,0.828755,1
18,5,0,0.718511,0.684496,-0.12332,0.774584,1
19,5,0,0.65794,0.712151,-0.244859,0.726207,1
0,6,0,0.641142,0.512045,-0.571618,0.751284,1
1,6,0,-0.544779,-0.829278,0.124556,0.828143,1
2,6,0,0.659719,0.738517,0.139154,0.822392,1
3,6,0,-0.560185,-0.81602,-0.14249,0.79707,1
4,6,0,0.479371,0.866059,-0.141933,0.724074,1
5,6,0,-0.667808,-0.744124,-0.0176653,0.761691,1
6,6,0,-0.298467,-0.945665,-0.128978,0.843852,1
7,6,0,0.62558,0.769003,-0.131468,0.913964,1
8,6,0,-0.6791,-0.731139,0.0652527,0.807196,1
9,6,0,-0.0811971,0.724719,-0.684243,0.704425,1
10,6,0,0.704008,0.392688,-0.591751,0.791353,1
11,6,0,0.836897,0.384402,-0.389665,0.721375,1
12,6,0,0.445137,0.746555,-0.494477,0.893605,1
13,6,0,0.50021,0.842924,-0.198166,0.803088,1
14,6,0,0.594479,0.65886,0.460976,0.774465,1
15,6,0,0.443047,0.857173,-0.262609,0.574013,1
16,6,0,0.80294,0.457589,-0.381967,0.847246,1
17,6,0,0.548101,0.712163,-0.438644,0.764229,1
18,6,0,0.336721,0.92328,0.184859,0.739577,1
19,6,0,0.941559,0.32132,0.101094,0.79425,1
0,7,0,-0.746243,-0.595696,0.297099,0.838111,1
1,7,0,0.213301,0.940469,-0.264613,0.910267,1
2,7,0,0.333013,0.937267,0.103112,0.897317,1
3,7,0,-0.33309,-0.942878,0.00569901,0.815924,1
4,7,0,0.506025,0.713492,0.484631,0.80144,1
5,7,0,-0.762519,-0.639492,-0.0980556,0.816348,1
6,7,0,0.169742,0.915744,0.364143,0.873948,1
7,7,0,-0.354446,-0.882848,-0.308135,0.839277,1
8,7,0,0.852309,0.492175,-0.177015,0.602718,1
9,7,0,0.765627,-0.0852415,-0.637612,0.615588,1
10,7,0,-0.834912,-0.409391,0.36786,0.811444,1
