x,y,z,nx,ny,nz,S,pt
0,0,0,-0.439171,0.533724,-0.722681,2.32267e+27,1
1,0,0,-0.326778,0.0713937,-0.942401,361.172,1
2,0,0,0.220881,0.832254,0.508493,0.336735,1
3,0,0,0.167215,0.607538,-0.77649,0.262355,1
4,0,0,-0.30529,0.769435,-0.561041,0.285203,1
5,0,0,0.824041,-0.121516,-0.553345,0.46854,1
6,0,0,-0.417021,-0.832489,-0.364769,0.370759,1
7,0,0,-0.809018,0.2711,0.521531,0.353332,1
8,0,0,0.386019,-0.639948,0.664421,0.306689,1
9,0,0,0.059064,0.62207,-0.780731,0.481447,1
10,0,0,0.0121485,0.585101,-0.810869,0.475264,1
11,0,0,0.330561,-0.943129,0.0351868,0.515183,1
12,0,0,0.146241,0.920954,-0.36119,0.596994,1
13,0,0,-0.354484,0.805834,0.474312,0.483906,1
14,0,0,0.476013,-0.811751,0.338337,0.445004,1
15,0,0,0.50419,0.601581,0.619591,0.353886,1
16,0,0,0.588129,-0.201129,0.783359,0.352434,1
17,0,0,0.6822,-0.658321,-0.318145,0.643907,1
18,0,0,0.370149,-0.846711,-0.382191,0.574583,1
19,0,0,-0.121771,-0.046398,0.991473,0.374951,1
0,1,0,-0.0135838,-0.763177,-0.646047,0.558146,1
1,1,0,-0.511125,0.744415,0.429647,0.673277,1
2,1,0,0.487454,-0.412279,-0.769685,0.651224,1
3,1,0,0.554812,0.576016,0.600324,0.470133,1
4,1,0,0.577478,0.794945,0.185961,0.400445,1
5,1,0,0.533886,0.785884,0.312012,0.451855,1
6,1,0,-0.475742,0.755981,0.449624,0.541984,1
7,1,0,-0.486103,0.711222,0.507806,0.7788,1
8,1,0,0.759164,-0.49962,-0.417193,0.423074,1
9,1,0,0.75444,-0.150273,-0.638935,0.395647,1
10,1,0,-0.260523,-0.216331,0.940919,0.317177,1
11,1,0,-0.286018,-0.945831,0.153616,0.41008,1
12,1,0,0.43937,0.865933,-0.238984,0.753243,1
13,1,0,-0.0254441,-0.799889,-0.599608,0.630808,1
14,1,0,0.514725,0.627815,0.583872,0.48809,1
15,1,0,-0.52901,-0.723084,-0.444182,0.759846,1
16,1,0,0.684374,0.728687,-0.0254448,0.239959,1
17,1,0,0.822311,0.131219,-0.553703,0.419167,1
18,1,0,0.416398,-0.354748,-0.837118,0.481841,1
19,1,0,-0.0697711,0.520573,0.850961,0.678407,1
0,2,0,-0.86825,0.291655,0.401346,0.777204,1
1,2,0,0.245297,-0.452714,-0.857251,0.831117,1
2,2,0,0.453417,-0.671387,-0.58622,0.685045,1
3,2,0,0.124758,-0.770414,-0.625219,0.627376,1
4,2,0,0.862101,0.489749,-0.130109,0.724145,1
5,2,0,0.829807,0.526732,-0.184322,0.836763,1
6,2,0,0.783747,0.39299,0.480936,0.379606,1
