x,y,z,nx,ny,nz,S,pt
0,0,0,0.172826,0.957213,0.232108,0.849317,1
1,0,0,0.354917,0.840508,0.409366,0.775457,1
2,0,0,0.578376,0.780829,0.236195,0.718856,1
3,0,0,0.0130279,0.756063,-0.654369,0.749632,1
4,0,0,0.666444,0.674341,-0.317989,0.761544,1
5,0,0,0.0522872,0.750419,-0.658891,0.865674,1
6,0,0,0.585796,0.730135,-0.351774,0.783048,1
7,0,0,0.728041,0.523801,-0.442255,0.735647,1
8,0,0,0.849322,0.426196,-0.311463,0.740799,1
9,0,0,0.829881,0.387879,-0.401058,0.912536,1
10,0,0,0.531233,0.423282,-0.73391,0.742597,1
11,0,0,-0.466465,-0.88348,-0.0432826,0.765474,1
12,0,0,-0.899394,-0.427648,-0.0905977,0.87839,1
13,0,0,0.815597,0.575056,0.0641222,0.800729,1
14,0,0,0.677831,0.676902,0.286964,0.874474,1
15,0,0,-0.604572,-0.739032,0.297193,0.753652,1
16,0,0,-0.643256,-0.759596,0.0960987,0.82202,1
17,0,0,-0.313352,-0.755495,-0.575358,0.73285,1
18,0,0,-0.460348,-0.863141,-0.207527,0.738563,1
19,0,0,-0.390467,-0.919513,-0.0450648,0.694961,1
0,1,0,-0.822322,-0.54553,0.161814,0.811074,1
1,1,0,-0.519409,-0.756827,0.39677,0.677742,1
2,1,0,0.32701,0.911285,-0.250246,0.847304,1
3,1,0,0.0723547,0.856373,-0.511263,0.873551,1
4,1,0,0.301908,0.924512,-0.232657,0.7835,1
5,1,0,-0.503854,-0.769397,0.392631,0.811399,1
6,1,0,-0.582755,-0.597465,0.550847,0.886771,1
7,1,0,-0.331648,-0.94026,0.0769494,0.795589,1
8,1,0,-0.928655,-0.161191,0.334092,0.814276,1
9,1,0,0.790065,0.549622,-0.271501,0.709256,1
10,1,0,0.951742,0.273386,-0.13945,0.617252,1
11,1,0,0.646635,0.759453,-0.0713735,0.723106,1
12,1,0,-0.804983,-0.593261,0.00662718,0.743805,1
13,1,0,-0.0721209,-0.953393,0.292985,0.726552,1
14,1,0,-0.521524,-0.850394,0.069592,0.757395,1
15,1,0,0.211635,0.977147,0.0198524,0.833522,1
16,1,0,-0.470071,-0.810036,-0.350535,0.846456,1
17,1,0,-0.303483,-0.917243,0.257997,0.781,1
18,1,0,-0.165572,-0.959369,0.228469,0.828517,1
19,1,0,-0.589401,-0.772381,-0.236714,0.832329,1
0,2,0,0.240673,0.939086,-0.245346,0.72757,1
1,2,0,-0.303004,-0.94073,0.152369,0.828737,1
2,2,0,-0.386467,-0.921965,0.0249977,0.88163,1
3,2,0,0.0207344,0.94821,-0.316967,0.807783,1
4,2,0,0.67144,0.738629,0.0599704,0.875992,1
5,2,0,0.470207,0.838316,-0.275919,0.813788,1
6,2,0,0.288443,0.743065,-0.603867,0.782099,1
7,2,0,0.838136,0.534823,0.107207,0.76428,1
8,2,0,-0.340329,-0.71679,0.608596,0.720629,1
9,2,0,0.3414,0.8605,-0.378134,0.855419,1
10,2,0,0.0513673,0.901383,-0.429964,0.752717,1
11,2,0,-0.0927225,-0.864791,0.493497,0.734647,1
12,2,0,-0.868492,-0.331256,0.36877,0.714343,1
13,2,0,-0.676716,-0.244215,0.694561,0.62947,1
14,2,0,0.199496,0.953487,0.225971,0.593213,1
15,2,0,0.876638,0.473991,0.0826922,0.834674,1
16,2,0,0.678945,0.734145,-0.00804735,0.794896,1
17,2,0,-0.305067,-0.830074,0.46681,0.854342,1
18,2,0,-0.565601,-0.812214,0.142842,0.818479,1
19,2,0,-0.71892,-0.66616,0.198456,0.838315,1
0,3,0,0.215011,0.97254,-0.089085,0.858477,1
1,3,0,-0.725049,-0.629129,0.280181,0.857189,1
2,3,0,-0.14396,-0.779807,0.609243,0.843366,1
3,3,0,0.547977,0.569688,-0.612517,0.772185,1
4,3,0,-0.379559,-0.918914,-0.107384,0.822447,1
5,3,0,-0.295722,-0.950721,-0.0931507,0.913433,1
6,3,0,-0.458987,-0.888442,0.000804583,0.867536,1
7,3,0,-0.541702,-0.740061,0.398584,0.770204,1
8,3,0,-0.0504263,-0.871621,0.487579,0.873275,1
9,3,0,-0.770374,-0.581635,0.261198,0.799644,1
10,3,0,0.446382,0.892862,0.059496,0.807635,1
11,3,0,-0.393706,-0.873713,0.285693,0.83232,1
12,3,0,-0.736495,-0.672353,0.0742742,0.661453,1
13,3,0,-0.831336,-0.0219566,0.555337,0.657504,1
14,3,0,-0.481381,0.873513,-0.0724335,0.554922,1
15,3,0,-0.789718,-0.592053,0.160679,0.690413,1
16,3,0,-0.816854,-0.524934,-0.239151,0.863233,1
17,3,0,-0.713777,-0.602612,-0.356905,0.770302,1
18,3,0,-0.895657,-0.43521,-0.0916048,0.830395,1
19,3,0,0.206822,0.97085,0.121141,0.809523,1
0,4,0,0.357151,0.836046,-0.416498,0.840775,1
1,4,0,0.353513,0.889256,-0.290262,0.643068,1
2,4,0,-0.164213,-0.808548,0.565052,0.759204,1
3,4,0,-0.621831,-0.496412,0.605724,0.804082,1
4,4,0,0.164216,0.985881,0.0327421,0.834899,1
5,4,0,-0.668753,-0.736676,0.100393,0.898941,1
6,4,0,-0.274351,-0.959235,0.0678225,0.939606,1
7,4,0,-0.562196,-0.824293,-0.0669074,0.843926,1
8,4,0,-0.441013,-0.884081,0.154624,0.900801,1
9,4,0,0.540221,0.839106,-0.0637317,0.811914,1
10,4,0,0.475531,0.805802,0.352921,0.858402,1
11,4,0,0.0509846,0.868157,-0.493663,0.783629,1
12,4,0,-0.229439,-0.920166,-0.317258,0.698061,1
13,4,0,0.853513,0.427889,-0.297364,0.650938,1
14,4,0,0.452127,0.875187,-0.17213,0.603737,1
15,4,0,0.619539,0.584469,-0.523992,0.815657,1
16,4,0,-0.875504,-0.45696,0.157101,0.802624,1
17,4,0,0.632899,0.660046,-0.404694,0.893991,1
18,4,0,0.656766,0.700911,0.278176,0.873112,1
19,4,0,-0.764086,-0.565665,-0.310154,0.672439,1
0,5,0,0.236624,0.933145,-0.270645,0.845732,1
1,5,0,0.0603618,0.924144,0.377246,0.906097,1
2,5,0,0.393882,0.918343,0.0387621,0.853579,1
3,5,0,-0.365263,-0.929974,-0.0416126,0.751728,1
4,5,0,-0.600184,-0.796418,0.0741499,0.854027,1
5,5,0,0.655625,0.733221,0.180396,0.791009,1
6,5,0,0.15304,0.986131,-0.0642156,0.791304,1
7,5,0,0.683964,0.559313,0.468361,0.875466,1
8,5,0,-0.49073,-0.868244,-0.0730543,0.842903,1
9,5,0,0.19552,0.979186,-0.0544615,0.930597,1
10,5,0,0.214086,0.976478,-0.0256655,0.819846,1
11,5,0,-0.532526,-0.702685,0.471858,0.845525,1
12,5,0,-0.158913,-0.983349,0.0881611,0.77585,1
13,5,0,-0.743052,-0.654198,-0.141062,0.808333,1
14,5,0,0.391352,0.919251,-0.0426689,0.740383,1
15,5,0,0.925914,0.302908,-0.225678,0.723105,1
16,5,0,0.879086,0.46232,0.116054,0.857776,1
17,5,0,0.80447,0.584826,0.103952,0.863893,1
18,5,0,0.578128,0.803626,0.141254,0.734061,1
19,5,0,0.102776,-0.882994,0.457993,0.619038,1
0,6,0,-0.119633,-0.965627,0.230764,0.911241,1
1,6,0,0.186834,0.982385,0.00353391,0.803552,1
2,6,0,-0.513542,-0.854278,0.0805227,0.838052,1
3,6,0,-0.573835,-0.713719,0.401644,0.851655,1
