x,y,z,nx,ny,nz,S,pt
0,0,0,0.956915,0.0923997,0.275276,2.32267e+27,1
1,0,0,-0.767384,0.163114,-0.620093,2.59768,1
2,0,0,-0.874988,0.0218564,-0.483651,0.794466,1
3,0,0,-0.818935,-0.550104,-0.163494,0.778084,1
4,0,0,0.720165,0.181219,0.669718,0.766282,1
5,0,0,0.924636,-0.195374,0.326921,0.666689,1
6,0,0,-0.869242,0.462989,0.17338,0.791434,1
7,0,0,0.936329,0.245011,0.25151,0.840681,1
8,0,0,0.993027,0.060179,0.101367,0.829262,1
9,0,0,0.886365,-0.0625353,0.458745,0.852822,1
10,0,0,-0.658862,0.186313,-0.728827,0.902842,1
11,0,0,0.934272,-0.0879669,0.345539,0.669946,1
12,0,0,-0.993624,0.0811445,0.0782702,0.739831,1
13,0,0,-0.881145,-0.471318,-0.0379847,0.708222,1
14,0,0,0.806998,0.448521,0.384167,0.858083,1
15,0,0,-0.810098,0.0973465,-0.578156,0.748597,1
16,0,0,-0.675636,-0.401674,-0.618202,0.943992,1
17,0,0,0.655164,0.430247,0.621005,0.895529,1
18,0,0,0.683685,0.657946,0.315724,0.904707,1
19,0,0,0.746332,0.192079,0.637256,0.909637,1
0,1,0,0.632685,0.400655,0.662711,0.916601,1
1,1,0,-0.796998,-0.292796,-0.528265,0.664822,1
2,1,0,0.773393,-0.403682,0.488779,0.81469,1
3,1,0,0.583796,0.262651,0.768243,0.794461,1
4,1,0,-0.493027,-0.374704,-0.785189,0.827857,1
5,1,0,-0.950507,0.0698803,-0.302743,0.854628,1
6,1,0,0.964506,-0.00704865,0.263966,0.828389,1
7,1,0,0.962766,0.143911,0.228846,0.917618,1
8,1,0,0.630362,0.372571,0.681053,0.847426,1
9,1,0,-0.815024,-0.12697,-0.565344,0.909502,1
10,1,0,0.659704,0.0510961,0.749787,0.916432,1
11,1,0,-0.566816,0.1031,-0.817368,0.802331,1
12,1,0,-0.549245,0.398827,-0.734348,0.671855,1
13,1,0,-0.96034,0.259749,-0.101375,0.593741,1
14,1,0,0.785486,0.615113,-0.0681744,0.695922,1
15,1,0,-0.77591,0.0417757,-0.629459,0.80728,1
16,1,0,-0.661023,-0.467411,-0.587006,0.898053,1
17,1,0,-0.680529,-0.610282,-0.405506,1.03816,1
18,1,0,0.479236,0.577376,0.661036,0.98708,1
19,1,0,-0.740217,-0.615373,-0.270914,0.86939,1
0,2,0,0.396633,0.6907,0.604661,0.820892,1
1,2,0,-0.999092,-0.0405072,-0.0132074,0.821242,1
2,2,0,0.802331,0.436227,0.407397,0.848537,1
3,2,0,-0.773171,-0.504233,-0.384651,0.8537,1
4,2,0,0.750055,0.235572,0.618,0.845357,1
5,2,0,-0.630391,0.0838586,-0.771735,0.872307,1
6,2,0,0.731853,0.127285,0.66947,0.909945,1
7,2,0,-0.804347,-0.0758309,-0.589301,0.858836,1
8,2,0,0.458207,0.321879,0.828517,0.86092,1
9,2,0,-0.79133,-0.199058,-0.578077,0.932767,1
10,2,0,0.876787,-0.0347425,0.479623,0.906074,1
11,2,0,0.936096,-0.26386,0.2326,0.737564,1
12,2,0,-0.948461,0.282661,-0.143261,0.786928,1
13,2,0,0.503436,-0.035186,0.863316,0.656178,1
14,2,0,0.578336,-0.112549,0.807998,0.787994,1
15,2,0,-0.522438,-0.199213,-0.82908,0.738513,1
