x,y,z,nx,ny,nz,S,pt
0,0,0,0.601138,0.430084,-0.673543,0.762957,1
1,0,0,0.379181,-0.00427946,-0.925313,0.865718,1
2,0,0,0.874929,0.0367325,-0.482856,0.738637,1
3,0,0,0.835168,0.548717,0.0374673,0.667666,1
4,0,0,0.893079,0.295314,-0.339411,0.741826,1
5,0,0,-0.724562,-0.417979,0.547999,0.911391,1
6,0,0,0.891556,0.32347,-0.317009,0.928242,1
7,0,0,-0.760794,-0.481439,0.435212,0.827487,1
8,0,0,0.672325,0.655781,-0.34341,0.90571,1
9,0,0,-0.516934,-0.836469,0.181934,0.839046,1
10,0,0,-0.601574,-0.74513,0.287905,0.814943,1
11,0,0,-0.794291,-0.202922,0.572647,0.823263,1
12,0,0,0.871358,-0.0876373,-0.482758,0.88997,1
13,0,0,0.900315,0.0382746,-0.433553,0.92116,1
14,0,0,0.846959,0.368879,-0.382868,0.940156,1
15,0,0,-0.776862,-0.39735,0.488465,0.891549,1
16,0,0,-0.95987,-0.245737,0.135142,0.75708,1
17,0,0,-0.768157,-0.149319,0.622606,0.8968,1
18,0,0,-0.831255,-0.254823,0.494044,0.929397,1
19,0,0,-0.563788,-0.731342,0.383773,0.864506,1
0,1,0,-0.820016,-0.199836,0.53632,0.901759,1
1,1,0,0.671546,0.371762,-0.640952,0.854105,1
2,1,0,0.873226,0.407025,-0.267968,0.865378,1
3,1,0,-0.769099,-0.638822,0.0198296,0.80394,1
4,1,0,0.827145,0.295536,-0.478006,0.805727,1
5,1,0,0.711993,0.41023,-0.569892,0.876096,1
6,1,0,-0.929095,-0.0959679,0.357174,0.878541,1
7,1,0,0.592096,0.654144,-0.470656,0.909038,1
8,1,0,-0.681963,-0.42241,0.597073,0.881738,1
9,1,0,0.837794,0.0870675,-0.538999,0.857678,1
10,1,0,0.600165,0.165784,-0.782508,0.891222,1
11,1,0,-0.692703,-0.309486,0.651446,0.95318,1
12,1,0,0.814912,0.0306021,-0.578776,0.879443,1
13,1,0,0.859902,0.205217,-0.467391,0.905483,1
14,1,0,0.926681,0.340062,-0.160062,0.865453,1
15,1,0,-0.805664,-0.208983,0.554285,0.872159,1
16,1,0,0.382209,0.469425,-0.795963,0.771372,1
17,1,0,0.91795,0.0378648,-0.394885,0.859494,1
18,1,0,-0.749851,-0.185717,0.635006,0.903555,1
19,1,0,-0.621095,-0.306748,0.721212,0.922479,1
0,2,0,-0.899224,-0.275366,0.339956,0.863494,1
1,2,0,0.638737,0.332805,-0.693726,0.734792,1
2,2,0,-0.811212,-0.399854,0.426676,0.84145,1
3,2,0,0.322931,0.714816,-0.620284,0.810272,1
4,2,0,-0.551307,-0.695136,0.461353,0.807687,1
5,2,0,-0.533206,-0.66554,0.522253,0.891817,1
6,2,0,0.921214,0.151687,-0.358268,0.852848,1
7,2,0,-0.820392,-0.471243,0.323862,0.864556,1
8,2,0,-0.475165,-0.516136,0.712616,0.916686,1
9,2,0,-0.727506,-0.239923,0.642784,0.915254,1
10,2,0,0.617555,0.533692,-0.577753,0.826124,1
11,2,0,0.658441,0.153045,-0.736907,0.865526,1
12,2,0,-0.729962,-0.617483,0.293035,0.853364,1
13,2,0,0.984703,0.0393017,-0.169752,0.927373,1
14,2,0,-0.899495,-0.380789,0.214262,0.799323,1
15,2,0,0.866654,0.247213,-0.433356,0.910272,1
16,2,0,-0.705297,-0.0956798,0.702425,0.815548,1
17,2,0,0.616049,0.124238,-0.777848,0.887343,1
18,2,0,0.767985,0.515189,-0.380498,0.942543,1
19,2,0,-0.668071,-0.411293,0.620096,0.911557,1
0,3,0,-0.850369,-0.526141,-0.00690031,0.88927,1
1,3,0,0.758281,0.607248,0.237189,0.738795,1
2,3,0,-0.425593,-0.807499,0.408431,0.856704,1
3,3,0,-0.798513,-0.595071,0.0909202,0.852704,1
4,3,0,-0.763647,-0.59993,0.238596,0.818684,1
5,3,0,-0.804567,-0.587468,0.0869077,0.922895,1
6,3,0,-0.550174,-0.766295,0.331815,0.800788,1
7,3,0,0.819053,0.142429,-0.555757,0.883403,1
8,3,0,0.767713,0.391477,-0.507309,0.83531,1
9,3,0,0.882563,0.381207,-0.275253,0.871351,1
10,3,0,0.750741,0.522293,-0.404473,0.87018,1
11,3,0,0.779499,0.244528,-0.576704,0.830212,1
12,3,0,-0.919737,-0.377744,0.106737,0.860531,1
13,3,0,0.925287,0.241104,-0.292768,0.760702,1
14,3,0,0.354089,0.892014,-0.280947,0.759243,1
15,3,0,0.519877,0.293536,-0.802225,0.843784,1
16,3,0,0.294597,0.474202,-0.829666,0.912162,1
17,3,0,0.507192,0.36009,-0.783002,0.90404,1
18,3,0,0.560678,0.365755,-0.742875,0.871732,1
19,3,0,-0.794388,-0.586624,0.157542,0.703191,1
0,4,0,-0.460732,-0.84289,0.277961,0.785758,1
1,4,0,0.424655,0.788618,-0.44469,0.814447,1
2,4,0,0.642818,0.642947,-0.416417,0.885257,1
3,4,0,0.92991,0.24458,-0.274679,0.908217,1
4,4,0,-0.743561,-0.483625,0.461761,0.819898,1
5,4,0,-0.697609,-0.695925,0.17038,0.927087,1
6,4,0,0.757124,0.50769,-0.411113,0.818359,1
7,4,0,-0.798838,-0.460359,0.387204,0.862629,1
8,4,0,0.549387,0.629449,-0.549516,0.786041,1
9,4,0,0.955305,-0.141767,-0.259412,0.848479,1
10,4,0,-0.907388,-0.401704,0.123618,0.829685,1
11,4,0,0.786978,0.034481,-0.616017,0.857583,1
12,4,0,0.710743,0.301826,-0.635409,0.870709,1
13,4,0,-0.831556,-0.143494,0.536585,0.905349,1
14,4,0,-0.688709,-0.379196,0.617972,0.801359,1
15,4,0,-0.62982,-0.51782,0.578955,0.959298,1
16,4,0,0.74003,0.430736,-0.516549,0.87949,1
17,4,0,-0.515485,-0.404511,0.755412,0.879254,1
18,4,0,-0.769667,-0.53807,0.343647,0.752324,1
19,4,0,0.435674,0.841179,0.320321,0.838623,1
0,5,0,0.0394753,0.965484,-0.257452,0.777997,1
1,5,0,-0.578288,-0.48267,0.657732,0.870553,1
2,5,0,0.432379,0.597374,-0.67542,0.824236,1
3,5,0,-0.519422,-0.612117,0.596249,0.881011,1
4,5,0,-0.744113,-0.397027,0.537276,0.954367,1
5,5,0,-0.563278,-0.495855,0.660944,0.882186,1
6,5,0,-0.512937,-0.323396,0.79518,0.89144,1
7,5,0,0.872437,-0.136385,-0.46931,0.830641,1
8,5,0,-0.734058,-0.564334,0.377737,0.83434,1
9,5,0,-0.599598,-0.355948,0.716786,0.841037,1
10,5,0,0.618441,0.619822,-0.483065,0.850295,1
11,5,0,-0.372922,-0.347216,0.860447,0.852613,1
12,5,0,-0.758948,-0.385422,0.524831,0.841489,1
13,5,0,0.813321,0.37877,-0.441636,0.794139,1
14,5,0,-0.706756,0.1137,0.698261,0.820669,1
15,5,0,0.479126,0.548118,-0.685569,0.878688,1
16,5,0,-0.670015,-0.594436,0.444664,0.953921,1
17,5,0,-0.521929,-0.524503,0.672671,0.872821,1
18,5,0,-0.573074,-0.265957,0.775147,0.722389,1
19,5,0,-0.643875,-0.759426,0.0932579,0.699558,1
0,6,0,-0.552843,-0.81091,-0.191806,0.692024,1
1,6,0,-0.573902,-0.7673,0.28616,0.744561,1
2,6,0,-0.519432,-0.836214,-0.175888,0.759046,1
3,6,0,0.430542,0.631385,-0.64497,0.735043,1
4,6,0,0.636174,0.467242,-0.613977,0.938249,1
5,6,0,0.579361,0.702091,-0.414016,0.942418,1
6,6,0,-0.816736,-0.383914,0.430759,0.902297,1
7,6,0,0.748027,0.36317,-0.555484,0.831544,1
8,6,0,0.360723,0.737513,-0.570924,0.888107,1
9,6,0,0.488552,0.52834,-0.694388,0.906272,1
10,6,0,0.833263,0.449191,-0.322336,0.925407,1
11,6,0,0.81134,0.522959,-0.261229,0.852276,1
12,6,0,-0.932471,-0.334649,0.136046,0.833568,1
13,6,0,-0.802159,-0.557343,0.214263,0.888729,1
14,6,0,-0.839542,-0.200994,0.504748,0.831161,1
15,6,0,0.704108,0.355587,-0.614646,0.898988,1
16,6,0,0.499582,0.644685,-0.578619,0.858481,1
17,6,0,-0.964781,-0.154741,0.212726,0.788832,1
18,6,0,-0.992221,0.101673,-0.0718403,0.697185,1
19,6,0,-0.889008,-0.453086,0.0661709,0.692777,1
0,7,0,-0.724668,-0.389317,0.568585,0.775098,1
1,7,0,0.481556,0.655354,-0.581906,0.887998,1
2,7,0,-0.610792,-0.4906,0.621486,0.723042,1
3,7,0,0.900203,0.241728,-0.362217,0.866927,1
4,7,0,-0.598774,-0.599843,0.530714,0.893898,1
5,7,0,0.760104,0.444816,-0.473688,0.909932,1
6,7,0,-0.679479,-0.461106,0.570692,0.849589,1
7,7,0,-0.675115,-0.596794,0.433654,0.911948,1
8,7,0,0.651662,0.282478,-0.703948,0.925723,1
9,7,0,-0.808192,-0.523942,0.268904,0.865806,1
10,7,0,0.738078,0.547413,-0.394436,0.930394,1
11,7,0,-0.602594,-0.638625,0.47858,0.946711,1
12,7,0,-0.745795,-0.664788,-0.0429775,0.888588,1
