x,y,z,nx,ny,nz,S,pt
0,0,0,-0.394691,0.357237,-0.846523,2.32267e+27,1
1,0,0,-0.174829,0.660645,-0.730057,2.94002,1
2,0,0,-0.857411,0.514595,0.00622881,0.460808,1
3,0,0,0.924527,-0.294283,0.242174,0.7068,1
4,0,0,0.635633,-0.0747605,0.768363,0.794537,1
5,0,0,0.716955,0.0493661,0.69537,0.768146,1
6,0,0,-0.855489,-0.095622,-0.508916,0.783664,1
7,0,0,-0.901823,-0.395333,-0.174433,0.842972,1
8,0,0,0.61605,0.0435309,0.786504,0.787313,1
9,0,0,-0.987257,-0.0679825,-0.143885,0.812391,1
10,0,0,-0.910008,-0.270404,-0.314271,0.71949,1
11,0,0,0.919898,0.386203,-0.0680824,0.80497,1
12,0,0,-0.932979,0.163108,-0.320853,0.706804,1
13,0,0,-0.565058,0.0409578,-0.824034,0.630123,1
14,0,0,0.411006,-0.263797,0.872631,0.748796,1
15,0,0,-0.796272,0.537601,-0.277372,0.699457,1
16,0,0,0.663823,-0.0832259,0.743245,0.678347,1
17,0,0,-0.533304,-0.0476534,-0.84458,0.76205,1
18,0,0,-0.811482,0.124756,-0.570906,0.804456,1
19,0,0,0.0819699,-0.508272,0.857287,0.759313,1
0,1,0,0.679233,0.162305,0.715752,0.780776,1
1,1,0,0.467833,-0.325516,0.821689,0.821076,1
2,1,0,-0.62863,0.367891,-0.685187,0.639514,1
3,1,0,0.490836,-0.163195,0.855831,0.621876,1
4,1,0,0.418529,0.0183047,0.908019,0.804049,1
5,1,0,-0.78393,-0.616083,-0.0767844,0.727652,1
6,1,0,-0.983405,0.146779,0.106636,0.748074,1
7,1,0,-0.842436,0.0825583,-0.532434,0.794047,1
8,1,0,0.765799,-0.354297,0.53668,0.701245,1
9,1,0,-0.689145,-0.129941,-0.712877,0.728594,1
10,1,0,0.682083,-0.255579,0.685158,0.738284,1
11,1,0,0.436151,0.571184,0.695358,0.678096,1
12,1,0,0.870226,-0.37623,0.318052,0.653226,1
13,1,0,-0.829318,-0.122213,-0.545248,0.695348,1
14,1,0,-0.700748,-0.0173375,-0.713199,0.73467,1
15,1,0,-0.432795,-0.619167,-0.655225,0.66668,1
16,1,0,0.691621,0.190906,0.696573,0.744179,1
17,1,0,0.883547,-0.415875,0.215389,0.786927,1
18,1,0,0.802052,-0.194083,0.56484,0.913407,1
