x,y,z,nx,ny,nz,S,pt
0,0,0,0.432075,-0.555386,-0.710533,0.391463,1
1,0,0,-0.387728,0.92099,0.03801,0.212907,1
2,0,0,-0.704642,0.537679,-0.463012,0.418518,1
3,0,0,0.648848,0.125365,0.750519,0.47054,1
4,0,0,-0.720881,0.540305,-0.434053,0.474036,1
5,0,0,-0.486626,0.7346,-0.472819,0.351911,1
6,0,0,-0.158032,-0.984889,-0.070854,0.405984,1
7,0,0,0.667042,-0.744751,-0.0200249,0.508769,1
8,0,0,0.620536,-0.713764,0.32477,0.471191,1
9,0,0,-0.654224,-0.727438,0.206942,0.494601,1
10,0,0,0.0195106,-0.995985,0.0873664,0.501344,1
11,0,0,0.416587,0.896295,0.152022,0.581095,1
12,0,0,-0.0875726,0.970185,0.22599,0.259747,1
13,0,0,0.269701,-0.766865,-0.582391,0.567469,1
14,0,0,-0.0675432,0.802173,0.593259,0.599601,1
15,0,0,-0.0378256,0.312893,0.949035,0.455249,1
16,0,0,0.610646,0.432444,0.663403,0.52212,1
17,0,0,0.118611,0.516035,0.848316,0.743778,1
18,0,0,0.04142,-0.558531,-0.828449,0.7224,1
19,0,0,0.589022,0.464311,0.661414,0.429009,1
0,1,0,-0.442053,0.896791,0.0188298,0.379777,1
1,1,0,-0.499483,0.587994,-0.636223,0.222647,1
2,1,0,0.699133,0.394919,-0.59603,0.370656,1
3,1,0,-0.668616,-0.532745,0.518782,0.327562,1
4,1,0,0.583347,-0.782401,-0.218071,0.20924,1
5,1,0,0.434911,0.478379,0.762893,0.218851,1
6,1,0,0.127049,0.983137,-0.131526,0.65897,1
7,1,0,0.0846891,0.982814,0.164027,0.559687,1
8,1,0,-0.331598,-0.704627,0.627331,0.613981,1
9,1,0,-0.248027,-0.967984,-0.0385872,0.634964,1
10,1,0,-0.116885,-0.992107,0.0454084,0.693516,1
11,1,0,0.652861,0.756046,0.0465455,0.500145,1
12,1,0,0.62173,0.0686833,-0.780215,0.403033,1
13,1,0,-0.329205,-0.833274,-0.44416,0.606138,1
14,1,0,0.302019,0.145673,0.942106,0.356517,1
15,1,0,0.260287,0.852897,-0.452568,0.388172,1
16,1,0,0.0292516,-0.740915,0.670962,0.330014,1
17,1,0,0.0415249,-0.325964,-0.94447,0.499682,1
18,1,0,-0.307385,0.540513,0.783173,0.531302,1
19,1,0,-0.392322,-0.258119,0.882869,0.354826,1
0,2,0,-0.411615,-0.0905202,-0.906851,0.30736,1
1,2,0,0.52474,0.00657136,-0.851237,0.56278,1
2,2,0,0.207943,0.556948,0.804095,0.327943,1
3,2,0,-0.884465,-0.404388,-0.232789,0.475049,1
4,2,0,-0.627666,-0.117356,-0.769586,0.615746,1
5,2,0,0.957011,0.0993573,0.272504,0.486803,1
6,2,0,0.279618,0.81054,-0.514624,0.530332,1
7,2,0,-0.598829,-0.383171,-0.703267,0.290086,1
8,2,0,0.258757,-0.81688,-0.515511,0.448661,1
9,2,0,0.545984,0.809095,0.217411,0.648518,1
10,2,0,0.399765,0.896125,0.192739,0.817535,1
