x,y,z,nx,ny,nz,S,pt
0,0,0,-0.843777,-0.0176083,0.536406,2.32267e+27,1
1,0,0,-0.798292,-0.284978,0.530582,0.636921,1
2,0,0,-0.691388,-0.683792,0.233261,0.779279,1
3,0,0,-0.595108,-0.781237,0.188454,0.749676,1
4,0,0,0.438299,0.571118,-0.69406,0.76435,1
5,0,0,-0.777021,-0.111576,0.619508,0.743817,1
6,0,0,-0.664649,-0.687476,0.292606,0.608679,1
7,0,0,-0.536368,-0.454041,0.711447,0.789244,1
8,0,0,-0.744712,-0.414588,0.522992,0.718058,1
9,0,0,0.685822,0.363728,-0.630357,0.687183,1
10,0,0,0.908903,0.197995,-0.367006,0.821046,1
11,0,0,0.4763,0.783692,-0.398704,0.669308,1
12,0,0,-0.341789,-0.884508,0.317532,0.517053,1
13,0,0,-0.00361691,-0.504951,0.86314,0.565614,1
14,0,0,0.552846,0.480251,-0.68097,0.791482,1
15,0,0,0.499897,0.13094,-0.856129,0.789432,1
16,0,0,-0.832824,0.0388916,0.552169,0.402581,1
17,0,0,0.862558,0.427224,-0.271061,0.540403,1
18,0,0,0.315177,0.769226,-0.555838,0.664029,1
19,0,0,0.391858,-0.724256,0.567363,0.437574,1
0,1,0,-0.56586,-0.501949,0.654102,0.770019,1
1,1,0,-0.501299,-0.204077,0.840864,0.655072,1
2,1,0,-0.786955,-0.452396,0.41957,0.612933,1
3,1,0,-0.617727,-0.475172,0.626598,0.762346,1
4,1,0,0.903006,0.234681,-0.359868,0.780336,1
5,1,0,-0.995409,0.0377101,0.087971,0.798728,1
6,1,0,-0.834139,0.428448,0.347341,0.705355,1
7,1,0,-0.956961,-0.133525,0.257676,0.734495,1
8,1,0,0.954451,0.298366,-0.000313249,0.767069,1
9,1,0,0.946373,0.0953523,-0.308685,0.591634,1
10,1,0,-0.487817,-0.3782,0.786765,0.788862,1
11,1,0,-0.480009,-0.362214,0.798995,0.809779,1
12,1,0,0.262217,0.51547,-0.815802,0.634757,1
13,1,0,0.507289,0.538639,-0.672701,0.614532,1
14,1,0,0.423074,0.206692,-0.882206,0.816112,1
15,1,0,-0.390379,-0.107994,0.914299,0.618638,1
16,1,0,-0.0350557,0.491802,-0.870001,0.54265,1
17,1,0,-0.0714312,-0.489651,0.868988,0.534723,1
18,1,0,0.505358,0.729437,-0.461016,0.688328,1
19,1,0,-0.5647,-0.765526,0.308357,0.590078,1
0,2,0,-0.749747,-0.395964,0.530181,0.615824,1
1,2,0,-0.578095,-0.338309,0.742532,0.652057,1
2,2,0,-0.633477,0.391205,0.667582,0.735894,1
3,2,0,0.756056,0.173343,-0.631135,0.642928,1
4,2,0,0.69777,0.327756,-0.63694,0.877074,1
5,2,0,0.582385,-0.130582,-0.802356,0.750871,1
6,2,0,0.631584,-0.359134,-0.687113,0.774723,1
7,2,0,0.789657,0.0014965,-0.613546,0.548691,1
8,2,0,-0.926717,-0.357868,-0.114566,0.530926,1
9,2,0,-0.983338,-0.0937821,0.155727,0.817865,1
10,2,0,-0.738146,-0.247559,0.627579,0.78566,1
11,2,0,-0.594308,-0.320557,0.737592,0.714882,1
12,2,0,-0.730052,-0.132483,0.670427,0.776676,1
13,2,0,0.819414,0.178298,-0.544766,0.769212,1
14,2,0,-0.734623,-0.372862,0.566836,0.620326,1
15,2,0,-0.38388,-0.731401,0.563639,0.564211,1
16,2,0,-0.0901527,0.925856,-0.366966,0.71456,1
17,2,0,-0.032129,-0.456739,0.88902,0.660364,1
18,2,0,-0.156257,0.928062,-0.338059,0.724637,1
19,2,0,0.347384,0.931953,-0.103866,0.704125,1
0,3,0,-0.427279,-0.479605,0.766428,0.80531,1
1,3,0,0.617878,0.65818,-0.430147,0.805839,1
2,3,0,0.308687,0.706284,-0.637084,0.628131,1
3,3,0,0.504454,0.55186,-0.664061,0.700338,1
4,3,0,-0.552778,-0.0220544,0.833037,0.7046,1
5,3,0,-0.53453,-0.48711,0.690653,0.703027,1
6,3,0,-0.681211,0.0357532,0.731213,0.562932,1
7,3,0,0.147194,-0.0446852,0.988098,0.793292,1
8,3,0,-0.774843,-0.315108,0.54802,0.486388,1
9,3,0,0.98185,0.0503761,-0.182848,0.652607,1
10,3,0,0.537307,0.354536,-0.765249,0.775303,1
11,3,0,0.485169,0.580238,-0.654168,0.788711,1
12,3,0,-0.350547,-0.0488606,0.93527,0.70245,1
13,3,0,-0.88257,-0.464353,0.073805,0.574475,1
14,3,0,0.890719,0.302375,0.339396,0.764495,1
15,3,0,-0.705342,-0.707922,-0.0365886,0.537444,1
16,3,0,0.12934,0.817395,-0.561371,0.627299,1
17,3,0,-0.622064,-0.71557,0.317798,0.670694,1
18,3,0,-0.37641,-0.710025,0.59513,0.645024,1
19,3,0,-0.628325,-0.77769,0.0201469,0.74565,1
0,4,0,0.47323,0.8589,-0.195814,0.595003,1
1,4,0,0.350709,0.753802,-0.555684,0.70439,1
2,4,0,0.273434,0.746083,-0.607119,0.816881,1
3,4,0,0.155622,0.669997,-0.725869,0.743714,1
4,4,0,0.411608,0.910999,0.0256802,0.470424,1
5,4,0,0.305555,0.9091,-0.283149,0.623983,1
6,4,0,0.649667,0.141452,-0.746943,0.690555,1
7,4,0,-0.43704,-0.302788,0.846945,0.734909,1
8,4,0,0.0611473,0.552548,-0.831235,0.597978,1
9,4,0,0.0965413,-0.223983,0.9698,0.639164,1
10,4,0,0.555193,0.494045,-0.669089,0.73159,1
11,4,0,0.558289,0.139722,-0.817797,0.564133,1
12,4,0,-0.360518,-0.0382099,0.931969,0.886335,1
13,4,0,0.503672,0.515575,-0.693179,0.702779,1
14,4,0,0.465333,0.744379,-0.47892,0.540269,1
15,4,0,-0.489583,-0.675066,0.551901,0.825781,1
16,4,0,0.469824,0.798807,-0.375728,0.847854,1
17,4,0,0.556077,0.805141,-0.206218,0.821509,1
18,4,0,0.368934,0.610911,-0.700483,0.657014,1
19,4,0,0.850124,0.398422,-0.344309,0.730069,1
0,5,0,-0.686649,0.500425,0.52734,0.503552,1
1,5,0,0.303396,-0.932068,-0.197989,0.358832,1
