x,y,z,nx,ny,nz,S,pt
0,0,0,-0.145255,-0.682375,-0.716425,0.688068,1
1,0,0,-0.540452,0.75852,-0.364086,0.527864,1
2,0,0,0.885165,-0.315391,0.34207,0.854635,1
3,0,0,-0.740416,0.394987,-0.543846,0.641569,1
4,0,0,-0.456626,0.765895,-0.452655,0.735714,1
5,0,0,-0.185625,-0.537523,0.822564,0.762731,1
6,0,0,-0.56713,-0.522689,0.636522,0.60122,1
7,0,0,-0.368906,0.681913,-0.631588,0.62066,1
8,0,0,-0.47127,0.58088,-0.663689,0.718437,1
9,0,0,0.199865,-0.777489,0.596293,0.788695,1
10,0,0,0.0438763,0.303871,-0.951702,0.755991,1
11,0,0,-0.190644,0.596831,-0.779389,0.70242,1
12,0,0,-0.188049,0.932473,-0.308435,0.743578,1
13,0,0,-0.0740339,0.61451,-0.785427,0.706351,1
14,0,0,0.28718,-0.950962,-0.114885,0.53871,1
15,0,0,-0.614081,0.775972,0.144128,0.816924,1
16,0,0,-0.0387805,0.971301,0.234673,0.349228,1
17,0,0,0.34427,0.395902,-0.851317,0.436408,1
18,0,0,-0.575734,-0.440669,0.688724,0.50036,1
19,0,0,-0.128424,0.77617,-0.617306,0.309691,1
0,1,0,-0.0394305,-0.703718,0.709384,0.46307,1
1,1,0,-0.298041,0.813496,-0.499396,0.749376,1
2,1,0,0.615414,-0.524225,0.588602,0.741687,1
3,1,0,0.221865,-0.442206,0.86904,0.813332,1
4,1,0,-0.224013,0.636194,-0.738292,0.946591,1
5,1,0,-0.342317,0.54816,-0.763112,0.817936,1
6,1,0,-0.124251,-0.992092,0.0177816,0.538262,1
7,1,0,0.223751,0.889019,0.399475,0.563481,1
8,1,0,0.724643,0.026004,0.688634,0.47262,1
9,1,0,0.386368,0.279328,-0.879031,0.662142,1
10,1,0,-0.327393,-0.638294,0.696702,0.504812,1
11,1,0,-0.0630451,-0.647715,0.75927,0.686511,1
12,1,0,-0.0562604,-0.902732,0.426508,0.838098,1
13,1,0,0.250422,0.650203,-0.717304,0.794847,1
14,1,0,-0.551575,-0.823885,0.130303,0.416193,1
15,1,0,-0.640338,0.533346,0.552729,0.401149,1
16,1,0,-0.371308,0.913699,-0.165182,0.591671,1
17,1,0,-0.114883,-0.98692,-0.113101,0.467654,1
18,1,0,-0.645172,0.56752,0.511541,0.428685,1
19,1,0,-0.702034,0.273943,0.657345,0.349329,1
0,2,0,0.0207384,-0.271211,0.962296,0.593227,1
1,2,0,-0.512619,-0.583137,0.630216,0.71622,1
2,2,0,0.106823,-0.427285,0.897784,0.676827,1
3,2,0,0.0402004,0.797023,-0.60261,0.684691,1
4,2,0,0.151982,-0.677481,0.719667,0.942938,1
5,2,0,-0.400823,0.70043,-0.590542,0.869327,1
6,2,0,-0.549005,0.494877,-0.673565,0.655489,1
7,2,0,0.0948355,-0.969198,0.227294,0.652013,1
8,2,0,0.241908,-0.960302,0.138925,0.551264,1
9,2,0,-0.0382459,-0.418178,0.907559,0.560597,1
10,2,0,0.920093,0.08194,-0.383035,0.678419,1
11,2,0,-0.652133,0.138078,0.745424,0.48129,1
12,2,0,0.196629,0.484371,-0.85248,0.544138,1
13,2,0,-0.231604,0.84668,-0.479054,0.903252,1
14,2,0,-0.0581995,-0.911116,0.408021,0.647971,1
15,2,0,-0.357595,0.896221,0.262513,0.752583,1
16,2,0,-0.153244,0.95331,0.260225,0.831362,1
17,2,0,-0.0909739,-0.889781,-0.447228,0.769897,1
18,2,0,-0.343113,0.836541,0.427168,0.43303,1
19,2,0,0.632045,0.402352,-0.662293,0.423707,1
0,3,0,0.802188,-0.38858,0.453321,0.614482,1
1,3,0,0.548189,-0.509022,0.663616,0.619322,1
2,3,0,-0.601213,0.374472,-0.705913,0.737405,1
3,3,0,0.452143,-0.485191,0.748436,0.688013,1
4,3,0,0.302157,-0.876366,0.375078,0.892824,1
5,3,0,0.613248,-0.741462,0.272324,0.745403,1
6,3,0,0.168628,-0.849773,-0.499451,0.639957,1
7,3,0,0.612547,-0.784847,0.0938171,0.708851,1
