x,y,z,nx,ny,nz,S,pt
0,0,0,-0.644332,0.120511,0.755191,2.32267e+27,1
1,0,0,-0.807274,0.241441,0.538531,3.98467,1
2,0,0,0.69707,-0.505183,-0.508805,0.989418,1
3,0,0,0.785649,-0.0612216,-0.615636,0.933753,1
4,0,0,0.641438,-0.165631,-0.749082,0.95561,1
5,0,0,-0.572049,0.150394,0.806313,1.00326,1
6,0,0,-0.805073,0.327061,0.494862,0.961092,1
7,0,0,0.545754,-0.650262,-0.5285,0.939795,1
8,0,0,-0.849105,0.430761,0.305721,0.994935,1
9,0,0,0.767195,-0.435809,-0.47062,0.91951,1
10,0,0,0.801481,-0.531255,-0.274585,1.02053,1
11,0,0,-0.832243,0.382083,0.401727,0.960698,1
12,0,0,0.645754,-0.191882,-0.739042,0.978717,1
13,0,0,0.902157,-0.320055,-0.289269,0.980152,1
14,0,0,0.71295,-0.308071,-0.629916,0.986843,1
15,0,0,-0.558799,0.563549,0.608405,1.02351,1
16,0,0,-0.56695,0.239105,0.788287,1.03354,1
17,0,0,-0.632963,0.289047,0.718199,0.979742,1
18,0,0,-0.714081,0.238896,0.65804,0.962657,1
19,0,0,-0.263804,0.385313,0.884275,0.975911,1
0,1,0,-0.533617,0.300543,0.790523,0.976948,1
1,1,0,0.320171,-0.156105,-0.93441,0.937064,1
2,1,0,0.731581,-0.0281122,-0.681174,0.937298,1
3,1,0,0.806603,0.090676,-0.584097,0.961001,1
4,1,0,-0.61156,-0.135113,0.779576,0.923211,1
5,1,0,-0.572398,0.314985,0.757063,0.977967,1
6,1,0,-0.794666,0.371238,0.4803,0.990933,1
7,1,0,-0.55322,0.371507,0.745607,1.00524,1
8,1,0,-0.642297,0.308328,0.701704,0.952761,1
9,1,0,0.77171,-0.323856,-0.54734,0.967166,1
10,1,0,-0.778598,0.317014,0.541561,1.00067,1
11,1,0,-0.620963,0.411683,0.667025,0.98147,1
12,1,0,0.623081,-0.409997,-0.666087,1.00864,1
